"PlotID","bat_H0","bat_H1","bat_H2","bat_N","bat_activity"
1,2,2,2,2,205.47
2,2,1.88988157484231,1.8,3,364.45
3,2,2,2,2,31.08
4,3,3,3,3,392.8
5,3,3,3,3,142.43
6,4,4,4,4,443.82
7,2,2,2,2,7.39
8,2,2,2,2,19.51
9,2,2,2,2,352.18
10,3,3,3,3,110.086
11,4,3.789291416276,3.57142857142857,5,1522.57
12,3,3,3,3,104.87
13,3,3,3,3,26
14,2,2,2,2,24.2
15,3,3,3,3,68.7
16,3,3,3,3,91.29
17,2,2,2,2,45.33
18,3,3,3,3,184.974
19,3,2.82842712474619,2.66666666666667,4,200.82
20,3,2.82842712474619,2.66666666666667,4,304.684
21,3,3,3,3,97.76
22,3,3,3,3,412.24
23,2,2,2,2,97.61
24,4,3.789291416276,3.57142857142857,5,768.32
25,3,2.82842712474619,2.66666666666667,4,139.74
26,3,2.82842712474619,2.66666666666667,4,140.1
27,4,4,4,4,507.83
28,4,4,4,4,180.38
29,2,2,2,2,22.4
30,4,4,4,4,216.92
31,2,2,2,2,18.2
32,2,2,2,2,34.9
33,2,2,2,2,22.4
34,3,2.87174588749259,2.77777777777778,5,1086.28
35,2,2,2,2,11.14
36,2,1.88988157484231,1.8,3,18.28
37,4,4,4,4,86.44
38,2,2,2,2,11.21
39,3,3,3,3,34.9
40,2,2,2,2,48.97
41,1,1,1,2,99.42
42,3,3,3,3,146.84
43,1,1,1,1,18.1
44,1,1,1,1,8.83
45,1,1,1,1,7.17
46,2,2,2,2,24.193
47,3,2.82842712474619,2.66666666666667,4,317.311
48,1,1,1,1,319.13
49,2,2,2,2,62
50,3,3,3,3,78.95
51,2,2,2,2,183.1
52,2,2,2,2,10.38
53,1,1,1,1,4.2
54,2,2,2,2,64.8
55,2,2,2,2,11
56,3,3,3,3,62.62
