"PlotID","herbs_H0","herbs_H1","herbs_H2"
1,14,7.44365948421342,5.29735234215886
2,6,2.69196567626325,2.15827338129496
3,7,5.89932002807891,5.45536519386835
4,14,6.2078167735893,3.87269681742044
5,13,10.1481093297342,8.39344262295082
6,14,7.68946422356545,4.82857142857143
7,15,5.40711535079479,3.67519066846119
8,13,7.29709660608434,5.65255972696245
9,10,5.80217491588581,4.77685950413223
10,6,2.95756278047161,2.27162162162162
11,16,8.29534591440118,4.85050505050505
12,14,9.01172777336541,7.14285714285714
13,13,9.27687471546078,5.91803278688525
14,8,3.66562508590956,2.2583559168925
15,5,3.25,2.38028169014085
16,12,8.31029957159083,6.61375661375661
17,15,8.21335658253128,5.06329113924051
18,19,9.2075282875167,5.42277992277992
19,17,14.5552245295822,12.2549019607843
20,18,8.58106695977771,5.25
21,13,3.44634913835346,1.97784810126582
22,17,7.5400081015064,4.26998744244454
23,9,3.85017663429759,2.34435912581217
24,10,8.23315890450298,6.89655172413793
25,16,9.69704294708216,6.4009756097561
26,10,6.82241947475571,5.04166666666667
27,7,2.67889798357494,1.74007612833061
28,17,11.3755715012894,8.66787003610108
29,9,5.485937462871,4.44489795918367
30,8,4.66760730461589,3.30687830687831
31,13,7.88360137333807,5.48697394789579
32,16,9.20699792707875,5.64654088050314
33,11,6.54620246704459,4.49878345498783
34,12,4.54127482748649,2.66743582347851
35,21,8.35635394689867,4.65698778833107
36,11,9.36866090864955,8.35986733001659
37,6,3.14749336779756,2.60296159185562
38,18,9.81653466226426,6.68632371392723
39,22,8.8112269726614,4.57131247460382
40,13,4.7486723793351,2.8130259787779
41,9,3.66893753022257,2.47830159225726
42,17,11.4959636423473,9.23570190641248
43,7,2.04290769061723,1.45204278449939
44,18,14.7888937562538,12.6805111821086
45,16,7.83969730822592,5.2904347826087
46,15,11.212685742569,9.12927756653992
47,15,10.226062789818,8.01707779886148
48,21,11.7582039582655,7.90123456790123
49,15,7.54108216374233,4.77355371900827
50,10,5.79638900263728,4.14068716094033
51,11,6.78568143837038,4.81818181818182
52,8,4.4419201666954,3.6126213592233
53,12,9.60185835069852,8.27350427350427
54,15,6.45056867492009,3.59818137134431
55,17,11.3245166852289,7.76079005120703
56,15,8.60649951377549,6.36771799628942
