alien_cover,native_cover,Clidemia_cover,Clidemia_max_length,PlotID
91.3,55.5,55,184,1
15,117.3,0,NA,2
52,75,5,178,3
80.4,46.2,45,254.5,4
95.2,23.4,55,214,5
65.2,19.7,35,187.8,6
133.2,22.3,10,144,7
133,20.6,50,163.5,8
100.1,82.3,35,179,9
148.1,43.1,35,224.5,10
67.3,33.8,35,219,11
53.5,23.6,12,158.8,12
27.4,16.1,18,97,13
96.3,26,10,155,14
83.2,8.2,50,251,15
80.3,30.7,50,178,16
50.6,27.7,30,135,17
90.1,94.3,50,170,18
44.7,20.9,28,205,19
100.5,48.5,45,181.5,20
102.2,5.7,6,105.2,21
131.4,31.5,40,179.5,22
47.2,46,15,164.5,23
71,9.6,25,153,24
123,30.4,45,196,25
89.3,13.5,65,232,26
50,86.3,6,149.5,27
84,46.7,30,196,28
67.1,64.1,25,182.5,29
52.1,8.6,9,158,30
94.3,34.3,30,228,31
69.2,50.4,35,187,32
83,23.1,12,158,33
38.1,106.1,10,148,34
82.4,81.5,15,140,35
123.1,87.2,55,155,36
59,62.3,25,160,37
87.3,71.4,70,169,38
135.1,61.4,50,191.5,39
154.2,21.4,65,216,40
49.3,110.3,6,127,41
90.2,41.8,55,190,42
47,84.3,17,180.4,43
89.1,71.4,45,213,44
46.1,50.3,20,154,45
93.1,34.1,30,160,46
70.3,37.5,35,159.8,47
101.2,59.3,60,168,48
80.4,55.3,20,137.2,49
51,72,10,206,50
102,17.5,40,197,51
92,80.1,25,137.2,52
48.1,24.2,13,79,53
130.1,26.4,25,96.5,54
73.2,51,10,69.3,55
94.1,76.3,22,84.5,56
