"PlotID","pollen_H0","pollen_H1","pollen_H2","pollen_conc"
1,8,3.67929828679675,2.5021645021645,54525.53846
2,7,1.82201389460483,1.33028213166144,15122.14085
3,8,3.01306794246115,2.23811135555932,8655.306859
4,6,4.01989937128934,3.32186732186732,34691.072
5,2,1.05527536810677,1.01922899140242,42505.63107
6,9,2.29801443997336,1.49611734253667,29130.08219
7,8,3.98101518426682,2.76555023923445,10989.64341
8,3,1.10184505239547,1.03432912132058,21295.38197
9,7,1.37231641007508,1.12168119917704,50698.54545
10,12,4.03474148964477,2.65187466038761,12426.64039
11,13,4.04572055612826,2.17024221453287,15566.50667
12,8,3.0023581542474,2.2200328407225,27976.67097
13,12,4.98537653236221,3.06859448554136,18339.96992
14,5,1.43206241488411,1.1672553500935,11450.19689
15,4,1.20742107415776,1.07351726416653,31479.09934
16,7,1.69644513056812,1.26347417840376,8211.775891
17,17,9.96291270781787,6.54721549636804,9110.05042
18,12,5.16596158942561,3.71582261873524,24086.52427
19,13,5.72644157761069,3.3629180932315,16191.23024
20,15,5.82994608242154,2.99790521078817,19397.70435
21,4,1.21240071595799,1.07560017459625,77137.6
22,5,1.27366788801444,1.09497206703911,30522.56209
23,5,1.32598688187667,1.11653828726778,37026.048
24,16,7.14855773894902,3.8109229173868,37742.06897
25,9,1.50963698049598,1.16212063004226,31414.79452
26,11,4.8864198943969,3.07881773399015,17593.24895
27,6,1.37594496496027,1.13256829665154,19561.08642
28,NA,NA,NA,NA
29,6,1.28025206103694,1.09167613175402,17652.32117
30,10,3.70299233073718,2.25407541577474,9565.552941
31,9,2.45424210907136,1.61404700448309,18936.93333
32,6,2.16057158494992,1.62604743644369,19313.7316
33,8,2.45154897699024,1.61498708010336,26728.20513
34,NA,NA,NA,NA
35,1,1,1,40041.39683
36,3,1.14626816149146,1.0533896978237,83392
37,10,1.66140611018219,1.21362229102167,19646.58983
38,5,1.47356052389921,1.18164380934113,34798.91729
39,8,1.63580061466789,1.22601932594862,37637.09735
40,2,1.05483465579102,1.01904589152911,30481.21379
41,NA,NA,NA,NA
42,12,2.13040921656173,1.37231503579952,23531.40594
43,15,5.53902501811502,3.26126999515269,9230.412214
44,7,1.87660367561365,1.34456840869055,21977.69458
45,7,1.58546989597345,1.21371779921552,10647.90453
46,7,1.78779525651275,1.31522113727743,12747.06286
47,NA,NA,NA,NA
48,5,1.62400532764175,1.27975428717686,10972.63158
49,6,1.76144785729156,1.3220910623946,21131.00452
50,5,1.43330328414398,1.1635397123202,15050.0355
51,13,4.59991027751157,2.67269267364415,12277.15556
52,4,1.61704517318493,1.28018329748434,40317.61983
53,11,3.23514893288464,1.88235294117647,26281.11515
54,10,1.84675444294913,1.28459891701297,12571.03284
55,7,1.56268472900302,1.20055388876067,18411.22078
56,6,1.52871008228029,1.197809642091,28631.25333
