PlotID,soil_predator_metabo,soil_herbi_metabo,soil_decomp_metabo,soil_fauna_metabo
1,5.09236,0.13227,16.75595,21.98058
2,1.18029,0.6114,4.96274,6.75443
3,12.97477,0.32466,27.60455,40.90398
4,1.10329,0.04539,15.23143,16.38011
5,10.07202,0.08235,6.06226,16.21663
6,2.19523,0.1512,22.69869,25.04512
7,3.38553,0.10632,17.53858,21.03043
8,2.44392,0.0525,1.52289,4.01931
9,1.03962,0.06516,10.37802,11.4828
10,5.59937,0.2139,14.71956,20.53283
11,1.57397,0.04344,10.59795,12.21536
12,3.55363,0.07602,27.06269,30.69234
13,2.81929,0.02496,6.09655,8.9408
14,2.42574,0.11379,6.98721,9.52674
15,2.1284,0.03258,11.51607,13.67705
16,1.28157,0.03453,7.36581,8.68191
17,18.58055,0.22806,18.31148,37.12009
18,0.88469,0.01944,9.40571,10.30984
19,4.24795,0.0543,14.65108,18.95333
20,0.55388,0.0444,9.89721,10.49549
21,0.44387,0.29193,5.61232,6.34812
22,2.85152,0,9.81447,12.66599
23,0.37869,0.01719,16.29486,16.69074
24,0.51946,0.03777,21.95414,22.51137
25,0.61125,0.00324,4.23592,4.85041
26,2.06051,0.22677,31.23385,33.52113
27,2.23758,0.05481,14.27636,16.56875
28,0.74602,0.05316,2.06178,2.86096
29,0.71227,0.15384,10.2693,11.13541
30,0.953,0.105,6.69289,7.75089
31,1.72489,0.05574,14.07533,15.85596
32,1.49374,0.03891,15.04709,16.57974
33,0.34178,0.0141,14.70118,15.05706
34,1.23065,0.02268,16.85051,18.10384
35,0.48441,0.0444,11.05153,11.58034
36,2.85812,0.02367,24.41594,27.29773
37,0.14605,0.02382,5.33972,5.50959
38,1.47151,0.25281,10.85486,12.57918
39,1.69029,0.00324,15.52802,17.22155
40,0.99142,0.00633,9.68469,10.68244
41,2.60124,0.50814,27.21328,30.32266
42,0.72459,0.01086,3.02639,3.76184
43,0.71539,0.24762,3.0276,3.99061
44,1.37208,0.34176,14.05191,15.76575
45,0.36334,0.03354,17.98079,18.37767
46,2.30297,0.07842,17.71371,20.0951
47,2.76877,0.0585,9.89245,12.71972
48,0.5729,0.01296,9.64422,10.23008
49,0.48638,0.03,18.89454,19.41092
50,0.30504,0.0525,0.09605,0.45359
51,3.69146,0.07746,5.12436,8.89328
52,3.51285,0.04992,19.52124,23.08401
53,0.89201,0.18003,2.97847,4.05051
54,0.24553,0.05574,9.45968,9.76095
55,0.99179,0.0159,10.14517,11.15286
56,0.63275,0.00648,19.90314,20.54237
