PlotID,Kfs
1,0.0004769
2,0.010219
3,0.003791
4,0.001095
5,0.005401
6,0.005343
7,0.01142
8,0.002866
9,0.00495434
10,0.014178132
11,0.000981482
12,0.0147
13,0.004969
14,0.011534385
15,0.012490851
16,0.003386627
17,0.006329
18,0.000727688
19,0.003486591
20,0.001647321
21,0.002914814
22,0.006042
23,0.004300819
24,0.007064
25,0.00248207
26,0.005719
27,0.002079
28,0.001632
29,0.006244
30,0.0009707
31,0.01268
32,0.00461455
33,0.001457365
34,0.002157
35,0.006238
36,0.00603
37,0.005083
38,0.0104
39,0.007248
40,0.00086486
41,0.009548
42,0.001456
43,0.001592087
44,0.01758
45,0.01186
46,0.00545
47,0.006969
48,0.003872
49,0.009433
50,0.003804
51,0.002432
52,0.001522313
53,0.001044
54,0.002587
55,0.0009572
56,0.002583
