"","PlotID","soilC","soilN","soilP","soilCN","soil_dens","pH"
"1",1,16.05282,1.57144333333333,0.0333028143333333,10.1982440087264,1.14,4.09
"2",2,17.8217866666667,1.50915,0.680350498,11.7858979281646,1.25,5.14
"3",3,17.0746733333333,1.81282666666667,0.03957019,9.42181001940516,1.07,3.94
"4",4,18.6884966666667,1.82920333333333,0.390843322333333,10.2244609413732,1.13,3.98
"5",5,13.8027833333333,1.19102666666667,0.0227789843333333,11.397659732332,1.21,3.98
"6",6,14.26388,1.25693333333333,0.0694913783333333,11.316442294343,1.19,3.96
"7",7,25.5095733333333,2.36656666666667,0.0729592533333333,10.6898115674254,0.78,4.06
"8",8,17.5394166666667,1.59836333333333,0.0394884733333333,10.9557800745315,1.23,3.84
"9",9,21.6020033333333,1.84539666666667,0.261609928,11.6404275845645,1.24,4.21
"10",10,21.5899966666667,2.06579666666667,0.0454279423333333,10.4461571606926,1.03,3.94
"11",11,14.7264,1.58035333333333,0.057978313,9.27232087583337,1.19,3.95
"12",12,13.2457833333333,1.17814333333333,0.174131694666667,11.2291559365974,1.13,4.24
"13",13,22.0312566666667,1.97622333333333,0.0533164613333333,11.1414874228181,1.14,4.08
"14",14,16.4009233333333,1.58554333333333,0.0616726493333333,10.2893226936931,1.19,4.14
"15",15,21.78113,2.04758,0.037206522,10.5992966421044,1.08,3.78
"16",16,18.04196,1.71792,0.0293175553333333,10.5525836150897,1.16,4.1
"17",17,21.9034833333333,2.12932666666667,0.239839991333333,10.3854285881647,1.2,4.17
"18",18,18.2919833333333,1.78634333333333,0.0495920353333333,10.2533103741089,1.16,3.83
"19",19,20.5943733333333,2.07958666666667,0.0381511386666667,9.90147064010583,1.13,3.94
"20",20,22.89302,2.16787,0.0683218773333333,10.5671809905784,1.02,3.86
"21",21,10.5229566666667,1.03474,0.493476078666667,10.2330171417352,1.25,NA
"22",22,13.3374166666667,1.23619333333333,0.0762429383333333,10.8008700489481,1.27,3.97
"23",23,16.25911,1.54499666666667,0.0330208313333333,10.4549351222007,1.1,3.85
"24",24,15.0818433333333,1.50068666666667,0.383475413333333,10.0229035934074,1.15,5.96
"25",25,25.1481933333333,2.15906666666667,0.0569169843333333,11.6844970558065,1.08,4.2
"26",26,14.4344833333333,1.37886,0.0685283016666667,10.5128351978563,1.32,4.06
"27",27,19.2603666666667,2.05998,0.412602510666667,9.40028893281409,1.02,4.24
"28",28,22.9300566666667,2.03588333333333,0.199292398666667,11.2613599275994,1.08,4.19
"29",29,19.3855366666667,1.72744333333333,0.0450199883333333,11.1587068009859,1.25,4.26
"30",30,11.9784633333333,1.14671666666667,0.038036898,10.4014036335222,1.27,4.22
"31",31,16.4157133333333,1.62465666666667,0.384104697333333,10.104088423344,1.21,5.35
"32",32,18.8362766666667,1.78260666666667,0.0692194363333333,10.5205180876236,0.95,3.85
"33",33,19.2496,1.54484333333333,0.123759109333333,12.4594673256209,1.12,4.06
"34",34,15.1822266666667,1.5927,0.053494381,9.5786775681327,1.025,4.29
"35",35,19.97044,2.20596333333333,0.149608909666667,9.05235740934204,0.9448,4.33
"36",36,23.1028566666667,2.20939666666667,0.0596259536666667,10.4608124888986,0.96,4.21
"37",37,19.8836666666667,2.10307,0.324347644666667,9.41233938646173,0.99,4.45
"38",38,25.0273833333333,2.56585333333333,0.0708569653333333,9.71929001274485,0.86,3.75
"39",39,15.6131633333333,1.62596333333333,0.171072531666667,9.59199347227143,1.12,3.9
"40",40,19.2327766666667,1.87229666666667,0.0502315766666667,10.2358681342095,1.07,3.98
"41",41,13.74362,1.25704666666667,0.0630173306666667,10.9129321259021,1.08,3.97
"42",42,15.30235,1.36846666666667,0.037411593,11.2588537142465,1.15,3.97
"43",43,21.40948,1.78727666666667,0.0887553806666667,12.0935750863987,1.13,4.25
"44",44,14.9543966666667,1.6123,0.052087521,9.27411288173762,1.12,4.09
"45",45,27.10644,2.88528666666667,0.0682959723333333,9.37177767758305,0.76,4.1
"46",46,34.66417,3.62471333333333,0.0837870293333333,9.53973794112104,0.88,6.32
"47",47,18.5588833333333,2.14738333333333,0.0534433183333333,8.63831113650458,1.15,4.5
"48",48,14.4319333333333,1.46327,0.274001666666667,10.0166627978261,1.1,4.56
"49",49,13.5163533333333,1.32077666666667,0.0582049793333333,10.2134667167603,1.29,4.36
"50",50,22.4534933333333,2.15829,0.063860566,10.4639966696473,0.97,4.1
"51",51,18.53757,1.57045,0.0384807516666667,11.5480734647091,1.12,3.77
"52",52,16.3147233333333,1.43357666666667,0.525863108666667,11.3855071817252,1.08,4.38
"53",53,15.41338,1.26268,0.271861298666667,11.9193959590359,1.17,3.94
"54",54,13.9841433333333,1.18349666666667,0.0344668756666667,11.830250766,1.39,4.16
"55",55,20.2960433333333,1.68795666666667,0.040233023,12.123437684894,1.04,4.29
"56",56,15.51994,1.48297,0.0297787216666667,10.5315552508179,1.17,4.2
