"PlotID","Mean_amplitude_AT","Median_amplitude_AT","Mean_amplitude_RH","Median_amplitude_RH"
27,5.33,5.37,-13.52,-14.79
46,5.54,5.65,-13.32,-11.96
8,5.55,5.72,-20.17,-20.41
28,5.65,5.88,-8.85,-4.34
33,5.69,5.87,-18.22,-17.71
47,5.75,6.09,1.02,2.71
6,6.04,6.37,-19.08,-19.86
30,6.08,6.37,-16.59,-18.78
5,6.1,6.44,-20.72,-21.68
15,6.1,6.38,-10.62,-3.14
9,6.11,6.44,-18.96,-20.77
3,6.14,6.81,-15,-18.88
24,6.26,6.25,-12.07,-13.83
29,6.27,6.44,-19.41,-20.01
52,6.34,6.5,-14.34,-14.38
14,6.35,6.69,-15.41,-17.46
53,6.39,6.69,-15.8,-17.87
4,6.41,6.62,-15.34,-17.62
39,6.41,6.56,-12.21,-13.31
22,6.43,6.62,-14.4,-17.73
31,6.43,7,-22.18,-23.2
25,6.46,6.75,-22.38,-22.92
2,6.48,6.9,0,0
48,6.49,6.84,-21.74,-23.18
16,6.52,6.75,-17.93,-20.35
11,6.55,6.75,-14.44,-16.43
13,6.57,6.62,-21.75,-21.06
54,6.62,6.81,-18.29,-21.03
37,6.64,6.81,-13.5,-15.93
42,6.66,6.81,-24.62,-24.84
55,6.66,6.81,-9.93,-16.84
18,6.67,6.25,-12.89,-14.53
43,6.71,6.94,-21.59,-21.92
44,6.72,6.87,-21.47,-22.56
32,6.73,6.69,-13.99,-16.99
19,6.78,6.94,-14.01,-15.66
20,6.79,7.06,-13.24,-15.49
40,6.8,7.12,-18.24,-20.25
35,6.82,7.03,-21.85,-21.76
41,6.86,7.12,-21.51,-22.81
45,6.86,7.06,-10.66,-9.05
51,6.89,7.25,-17.9,-19.55
56,6.94,7.06,-14.33,-17.23
26,7,7.19,-14.84,-17.41
1,7.19,7.44,-21.46,-21.73
10,7.19,7.62,-19.26,-21.72
7,7.22,7.25,-24.92,-24.6
17,7.35,7.44,-15.19,-18.08
12,7.47,7.43,-26.51,-26.16
36,7.57,7.44,-13.43,-15.26
50,7.62,8.19,0,0
34,7.63,7.75,-16.08,-18.57
38,7.63,7.81,-25.63,-26.89
49,7.7,8.06,-20.53,-22.98
23,7.75,7.75,0,0
21,7.93,8,-30.96,-32.81
