"PlotID","seed_N_native","seed_H0","seed_H1","seed_H2","seed_N"
1,989,15,2.5196200595859,1.86271995871214,4638
2,6,12,1.31368000604465,1.11726951963256,3863
3,94,17,2.40496561717953,1.60893765663418,1222
4,10113,17,2.44678711234054,1.90245992113797,37983
5,238,25,1.53312900213305,1.16834983361002,13277
6,23,17,1.59783723663789,1.19935467038515,2017
7,146,21,4.43934886708914,2.49044125507562,1658
8,129,21,1.38251751666967,1.11659182388676,7812
9,1514,16,2.48395313187299,1.80895895886167,6252
10,382,27,1.33221142893107,1.10260661161805,78301
11,53,19,1.63475648949704,1.23850238623533,9290
12,372,24,1.41418641678879,1.13597589847531,38689
13,130,17,1.78553614777562,1.29373580262494,1620
14,116,17,1.41365868472625,1.1393089407574,8812
15,56,20,1.24506430435355,1.07201147536861,9857
16,112,17,1.11223888399633,1.02945217085813,10746
17,185,26,1.3243528117829,1.09759013409603,19976
18,158,16,1.23701497278249,1.06940346863066,7040
19,198,15,1.20012183410647,1.0598535262776,19314
20,171,21,2.30922339308597,1.5177225874413,8577
21,106,14,2.45852841936052,1.74094217311468,2092
22,19,11,1.59466934075611,1.23349828879795,796
23,286,18,1.58266843757973,1.21007102847218,4284
24,14,12,1.19786108137514,1.0718229734695,6383
25,10,10,1.10412226129904,1.03286009514504,8386
26,79,12,1.108894272268,1.03325032473222,20527
27,42,14,2.06908880277779,1.64843886454487,2450
28,59,12,1.46400125832867,1.17369304299778,2001
29,2751,9,2.37118690849257,2.11335501772899,6690
30,19,11,3.02903524044301,1.91732191876425,203
31,110,17,2.76056611049829,2.29346158174256,2667
32,537,29,2.36766700423829,1.47855834006656,10232
33,7,12,1.32319302353883,1.10962169919805,2505
34,107,22,3.3513916371675,2.38636259026981,8550
35,143,13,1.47953460499709,1.19018117087149,2356
36,200,24,1.29316611574817,1.09454196106149,40943
37,20,14,1.22858225091769,1.06862922702131,4151
38,3787,29,4.61451227620494,2.76075836000968,24710
39,73,15,1.33434267753793,1.11375978164677,4137
40,100,15,1.07681890654058,1.02080485033728,16181
41,406,20,4.87859162316806,3.79268409459628,7607
42,210,21,1.37505906567697,1.12064800942462,8043
43,518,19,1.94247378623037,1.40476141644463,10854
44,65,18,1.15105980503822,1.04354620864603,15472
45,9,18,1.85432367844493,1.41223503676429,1373
46,63,15,3.38316170108741,2.49417531472281,725
47,360,13,2.88811344206213,1.96543481829988,2449
48,468,16,1.58564974836651,1.24577753517929,20926
49,921,21,4.68429845685115,3.28145830670771,6768
50,731,26,4.15214261014163,3.05490687679083,2106
51,160,12,1.39321507329922,1.13427189639802,5624
52,556,22,2.38061198976529,1.59176042153669,13810
53,38,16,6.91034946152745,4.09709962168979,171
54,75,13,2.90693768214248,1.84263615687772,798
55,449,13,2.14045006630168,1.42314679039636,510
56,405,13,3.79691455580602,2.91117428383993,516
