"PlotID","Size","Y.NetChange","Y.NetChange.NoSpillOver","Y.NetChange.NoSpillOver2"
1,40,344.44475,-960.88,-3776.55164835164
2,20,371.85945,-697.2,-10768.2
3,20,1091.91955,-574.185,-3880.62857142858
4,10,-170.9735,-219.835,0
5,40,4403.12715,-713.04,-198.342857142845
6,5,-27.81675,0,0
7,40,-172.850549999999,-2210.355,-11747.7116883117
8,5,90.5872500000001,0,0
9,10,267.1805,-194.93,-1206.94285714283
10,20,-474.86435,-598.53,-7124.65714285714
11,10,-984.4365,-219.835,0
12,20,661.19935,-96.245,625.628571428591
13,10,-620.0095,-219.835,0
14,10,583.7925,-219.835,0
15,20,441.193050000001,-453.63,-5415.68571428569
16,5,466.09875,0,0
17,20,3060.72065,-438.465,-464.828571428552
18,5,324.76275,0,0
19,20,1019.71335,-661.035,-13146.2571428571
20,10,-259.6795,-108.75,7657.28571428576
21,10,1273.1465,-219.835,0
22,5,1195.30125,0,0
23,40,352.667650000001,-2024.51,-9932.32857142857
24,40,1467.81405,-1214.385,-9214.38701298701
25,5,-259.76925,0,0
26,40,4571.85515,-548.59,-426.657142857133
27,10,-811.1105,-219.835,0
28,5,-918.65475,0,0
29,40,303.72915,-1749.39,-6493.08857142857
30,20,-1191.29305,-569.49,-13100.9142857143
31,5,291.30075,0,0
32,10,784.7145,-136.07,4847.22857142861
33,20,-541.390150000001,-852.695,-12421.2857142857
34,10,444.0325,-272.3,-9164.99999999997
35,40,1820.36115,-485.16,-2305.93109243696
36,20,-466.70415,-729.61,-16113
37,10,537.9185,-355.69,-17742.2571428571
38,20,-721.27715,-850.155,-8665.45714285714
39,5,-957.20625,0,0
40,5,-181.26225,0,0
41,10,140.8395,-219.835,0
42,5,930.35475,0,0
43,40,1823.88065,-718,-3270.84935064933
44,5,-520.56225,0,0
45,40,-4512.21495,-1556.01,-11403.3428571429
46,40,1236.14235,-1402.635,-4259.59159663864
47,20,674.60715,-52.8050000000001,-1913.93142857141
48,10,1176.2925,-219.835,0
49,40,-279.208250000001,-1312.88,-8338.22285714285
50,5,129.54825,0,0
51,20,-1484.77795,-436.195,-3002.54285714285
52,40,-362.46215,-561.71,-1634.88131868131
53,NA,-12.985,-12.985,-1558.2
54,NA,-80.625,-80.625,-9675
55,NA,-86.075,-86.075,-10329
56,NA,12.715,12.715,1525.8
