"bat_H2","bird_H2","insect_H2","herbs_H2","pollen_H2","seed_H2","spont_tree_H2rare","soil_fauna_H2","bact_H2","fungi_H2"
2,2,10.8558133200163,5.29735234215886,2.5021645021645,1.86271995871214,2.244,5.64286126444962,822.3743245,20.861898584821
1.8,2.66666666666667,7.3709905327116,2.15827338129496,1.33028213166144,1.11726951963256,5.351,4.43612993224392,1545.457303,58.8465885928513
2,2.66666666666667,15.21719054242,5.45536519386835,2.23811135555932,1.60893765663418,3.153,3.25225368106527,1908.097108,26.7366569639512
3,4,10.8804950206259,3.87269681742044,3.32186732186732,1.90245992113797,1.787,3.40780172290432,1489.030285,34.1947440878614
3,3,6.22331188987359,8.39344262295082,1.01922899140242,1.16834983361002,2.178,2.79255126366138,1392.739184,30.3666309879423
4,2.66666666666667,7.63568904593639,4.82857142857143,1.49611734253667,1.19935467038515,1.809,5.07453219156359,897.9883489,72.113191742296
2,4,11.5878889823381,3.67519066846119,2.76555023923445,2.49044125507562,3.887,4.28792678018305,583.3558489,62.6808295631267
2,4.16666666666667,13.4937701892017,5.65255972696245,1.03432912132058,1.11659182388676,0,4.23158018039124,748.7815342,45.4325315440066
2,2,4.60102138525375,4.77685950413223,1.12168119917704,1.80895895886167,2.901,3.55100762343508,1058.80718,47.8076084109255
3,5.48780487804878,14.2850213506903,2.27162162162162,2.65187466038761,1.10260661161805,2.739,5.58282577135515,1221.101238,73.6094942246115
3.57142857142857,5.26086956521739,6.4216077170418,4.85050505050505,2.17024221453287,1.23850238623533,4.34,3.89029371717565,1778.303255,65.7489816800145
3,2.27272727272727,9.87921102354947,7.14285714285714,2.2200328407225,1.13597589847531,2.212,5.31675674125894,1208.826803,90.2642366759957
3,3.33333333333333,9.2827140549273,5.91803278688525,3.06859448554136,1.29373580262494,2.769,3.50229889540351,783.8229296,43.088937583028
2,3,8.806125670982,2.2583559168925,1.1672553500935,1.1393089407574,1.802,3.98530209617756,696.6658352,49.0483547334017
3,4.5,9.8993466947182,2.38028169014085,1.07351726416653,1.07201147536861,3.422,4.36404281733182,676.9299833,27.669116809967
3,4.33333333333333,5.63114047687446,6.61375661375661,1.26347417840376,1.02945217085813,4.966,3.19982420835936,522.4949978,54.2899450008937
2,5.4,12.7883979206049,5.06329113924051,6.54721549636804,1.09759013409603,2.694,2.62135143465451,918.3800949,61.5219822643997
3,0,4.65793304221252,5.42277992277992,3.71582261873524,1.06940346863066,4.966,2.86117717527262,931.4816068,8.58576835616002
2.66666666666667,3.57142857142857,5.93827266483517,12.2549019607843,3.3629180932315,1.0598535262776,4.993,2.54450649928335,663.8924322,72.5041500759587
2.66666666666667,1,18.3889111556446,5.25,2.99790521078817,1.5177225874413,2.256,4.1986951202936,732.2503823,49.5511646658867
3,0,5.48170481019597,1.97784810126582,1.07560017459625,1.74094217311468,0,3.80044473411801,414.2127317,13.9873246683041
3,1,6.57704007406428,4.26998744244454,1.09497206703911,1.23349828879795,1,5.1559834790538,351.7841606,89.8775275530362
2,4.54545454545455,5.43100189035917,2.34435912581217,1.11653828726778,1.21007102847218,4.329,3.20379146919431,589.1647713,47.2690492304311
3.57142857142857,3.42857142857143,13.1840086439762,6.89655172413793,3.8109229173868,1.0718229734695,5.328,4.14296466773778,1270.156929,37.1887085328731
2.66666666666667,1,8.72747252747253,6.4009756097561,1.16212063004226,1.03286009514504,2.769,4.11559071191631,1391.28236,54.6347945649326
2.66666666666667,4.26315789473684,16.5008918436841,5.04166666666667,3.07881773399015,1.03325032473222,1.571,6.08182686443506,1367.725246,94.7033569643808
4,0,5.29196337741607,1.74007612833061,1.13256829665154,1.64843886454487,9.081,5.07714118408482,1451.943368,64.985167620529
4,1.8,4.84858144724259,8.66787003610108,NA,1.17369304299778,1.665,3.15969194622112,1017.351557,41.2416035446302
2,2,8.45665961945032,4.44489795918367,1.09167613175402,2.11335501772899,3.506,3.37483521312436,1118.425604,36.4468811666772
4,5.15789473684211,14.2371740958789,3.30687830687831,2.25407541577474,1.91732191876425,1.291,5.04939024390244,784.6525954,57.593930844101
2,2.27272727272727,8.21597770552717,5.48697394789579,1.61404700448309,2.29346158174256,0,3.23656056166914,677.7512625,64.2027106230292
2,3.2,10.320120537784,5.64654088050314,1.62604743644369,1.47855834006656,2.42,2.61924707412612,798.1653182,25.0651709875144
2,2.66666666666667,7.52707922743398,4.49878345498783,1.61498708010336,1.10962169919805,2.584,4.10094564019261,901.1582191,68.9847788875407
2.77777777777778,2,16.3903885950793,2.66743582347851,NA,2.38636259026981,4.966,4.0399785616452,854.2151687,64.4871658630946
2,1.8,15.6925540432346,4.65698778833107,1,1.19018117087149,3.073,4.2088601972223,1263.842793,42.4576367135903
1.8,0,15.0318421052632,8.35986733001659,1.0533896978237,1.09454196106149,3.63,6.38904426656379,692.4182059,56.1461723517791
4,1,17.6177606177606,2.60296159185562,1.21362229102167,1.06862922702131,1,4.63961813842482,664.3418226,24.1730323062421
2,4.78723404255319,14.1877777777778,6.68632371392723,1.18164380934113,2.76075836000968,2.005,5.03652484076433,877.371145,60.1862673277263
3,4.45454545454545,11.9475561897966,4.57131247460382,1.22601932594862,1.11375978164677,1,4.89171730525114,994.066555,75.3998209526937
2,3.85714285714286,11.2640226628895,2.8130259787779,1.01904589152911,1.02080485033728,1,4.49432197728791,1194.383851,69.5155385308217
1,2.66666666666667,11.9654114840688,2.47830159225726,NA,3.79268409459628,2.376,4.65284690145728,1181.924292,55.7058686244042
3,2,14.4780039395929,9.23570190641248,1.37231503579952,1.12064800942462,0,2.77715405391092,1036.946116,49.9535995788953
1,2.68888888888889,13.292029470864,1.45204278449939,3.26126999515269,1.40476141644463,2.04,4.99980073065427,958.7435926,66.3141288650277
1,1,12.8489968321014,12.6805111821086,1.34456840869055,1.04354620864603,2.769,4.98627897974107,1165.550404,49.0977988560652
1,3.26666666666667,12.7289566236811,5.2904347826087,1.21371779921552,1.41223503676429,4.894,4.9188485932672,949.7151463,59.5392115828229
2,2,8.81905203026092,9.12927756653992,1.31522113727743,2.49417531472281,8.522,4.44761922200148,837.3796439,42.6296273942263
2.66666666666667,0,10.844277673546,8.01707779886148,NA,1.96543481829988,1.439,5.583701917771,787.499491,58.9423917128122
1,1,13.6122750801085,7.90123456790123,1.27975428717686,1.24577753517929,2.813,3.58957858288996,672.7511675,19.8296561131149
2,2,11.212294412691,4.77355371900827,1.3220910623946,3.28145830670771,1.922,5.57008175591073,523.7813518,49.3361830989816
3,1,10.3470077764003,4.14068716094033,1.1635397123202,3.05490687679083,2.139,1.90512395895031,638.3898242,13.466854229398
2,1,18.4750235626767,4.81818181818182,2.67269267364415,1.13427189639802,1.244,5.13484290527305,910.7466398,12.5070199450821
2,0,7.73464173731274,3.6126213592233,1.28018329748434,1.59176042153669,3.991,4.41701378857518,928.4767087,31.6166938011662
1,0,11.6516276413478,8.27350427350427,1.88235294117647,4.09709962168979,0,2.9424398550025,1066.967213,54.7344969212394
2,1.8,9.96979232221523,3.59818137134431,1.28459891701297,1.84263615687772,0,4.2127331972643,963.0093706,16.4595140484764
2,0,8.81191806331471,7.76079005120703,1.20055388876067,1.42314679039636,0,3.33866970932249,1055.208709,31.9532970845847
3,1,7.57333555815117,6.36771799628942,1.197809642091,2.91117428383993,0,3.02744933277314,705.868087,77.8437627523368
